hanzi,pinyin
㓝,xíng
㓞,qià
㓟,pí
㓠,diàn
㓡,fǔ
㓢,luò
㓣,qià
㓥,tāng
㓦,bāi
㓧,gān
㓨,cí
㓩,xuān
㓪,lǎng
㓭,shé
㓯,lí
㓰,huà
㓱,tóu
㓲,piān
㓳,dī
㓴,ruǎn
㓵,è
㓶,qiè
㓷,yì
㓸,zhuō
㓹,ruì
㓺,jiān
㓼,chì
㓽,chóng
㓾,xī
㔀,lüè
㔁,dēng
㔂,lín
㔃,jué
㔄,sù
㔅,xiào
㔆,zàn
㔉,zhǔ
㔊,zhǎn
㔋,jiān
㔌,zòu
㔍,chuā
㔎,xiè
㔏,lì
㔑,chì
㔒,xí
㔓,jiǎn
㔕,jí
㔗,fèi
㔘,chù
㔙,bēng
㔚,jié
㔜,bá
㔝,liǎng
㔞,kuài
㔠,xiā
㔡,biē
㔢,jué
㔣,léi
㔤,xìn
㔥,bài
㔦,yǎng
㔧,lǜ
㔨,bèi
㔩,è
㔪,lǔ
㔭,chè
㔮,nuó
㔯,xuán
㔰,héng
㔱,yǔ
㔳,guǐ
㔴,yì
㔵,xuǎn
㔶,gòng
㔷,lòu
㔸,tī
㔹,lè
㔺,shì
㔼,sǔn
㔽,yào
㔾,xiān
㔿,zòu
㕁,què
㕂,yín
㕃,xī
㕄,zhǐ
㕅,jiá
㕆,hù
㕇,lā
㕈,yǐ
㕉,kè
㕊,fū
㕋,qín
㕌,ài
㕎,kè
㕏,chú
㕐,xiě
㕑,chú
㕒,wēi
㕕,huàn
㕖,sù
㕗,yòu
㕙,jùn
㕚,zhǎo
㕛,xù
㕜,shǐ
㕞,shuā
㕟,kuì
㕠,shuāng
㕡,hé
㕢,gài
㕣,yǎn
㕤,qiú
㕦,huà
㕧,xī
㕩,pàng
㕪,dǎn
㕫,fǎng
㕭,āo
㕮,fǔ
㕯,nè
㕰,xuè
㕱,yóu
㕷,huà
㕸,lì
㕹,fá
㕺,xiāo
㕻,pǒu
㕽,sì
㖀,lè
㖁,lìn
㖂,yì
㖃,hǒu
㖅,xù
㖆,qú
㖊,xún
㖏,niè
㖐,wěi
㖑,xiè
㖒,tí
㖓,hóng
㖔,tǔn
㖕,niè
㖖,niè
㖗,yín
㖘,zhēn
㖞,wāi
㖟,shòu
㖠,nuò
㖢,qí
㖤,hán
㖦,dǒng
㖧,hūn
㖨,lù
㖩,jū
㖪,huò
㖫,líng
㖮,lún
㖶,yān
㖷,shí
㖸,xué
㖹,pēn
㖺,chǔn
㖻,niú
㖼,duǒ
㖽,zé
㖾,è
㖿,xié
㗀,yōu
㗁,è
㗃,wěn
㗄,kū
㗅,hú
㗆,gé
㗇,xiá
㗈,màn
㗉,lüè
㗊,jí
㗋,hóu
㗌,zhì
㗒,ài
㗓,zhuī
㗔,qiān
㗕,gòu
㗖,dàn
㗗,bēi
㗘,bó
㗙,chū
㗚,lì
㗛,xiào
㗜,xiù
㗢,hóng
㗣,tì
㗤,cù
㗥,kuò
㗦,láo
㗧,zhì
㗨,xiē
㗩,xī
㗫,qiè
㗬,zhā
㗭,xī
㗱,jí
㗴,yán
㗵,xù
㗶,pō
㗷,sǎi
㗼,yè
㗽,xiǎng
㗿,hé
㘀,zuò
㘁,yì
㘂,cí
㘅,xián
㘆,tǎi
㘈,yì
㘊,xī
㘋,xián
㘌,jù
㘍,jí
㘎,hǎn
㘐,pào
㘑,lì
㘓,lán
㘔,sǎi
㘕,hǎn
㘖,yán
㘗,qū
㘙,yán
㘚,hǎn
㘛,kān
㘜,chǐ
㘝,niè
㘞,huò
㘠,bì
㘡,xiá
㘢,wěng
㘣,xuán
㘤,wān
㘥,yóu
㘦,qín
㘧,xù
㘨,niè
㘩,bì
㘪,hào
㘫,jǐng
㘬,ào
㘭,ào
㘰,zhēn
㘱,tān
㘲,jú
㘴,zuò
㘵,bù
㘶,jié
㘷,ài
㘸,zàng
㘹,cí
㘺,fá
㘿,niè
㙀,liù
㙁,méi
㙂,duì
㙃,bāng
㙄,bì
㙅,bǎo
㙇,chù
㙈,xià
㙉,tiǎn
㙊,cháng
㙍,duō
㙎,wēi
㙏,fù
㙐,duǒ
㙑,yǔ
㙒,yě
㙓,kuí
㙔,wěi
㙕,kuài
㙗,wēi
㙘,yāo
㙙,lǒng
㙚,xīng
㙛,bǔ
㙜,chí
㙝,xié
㙞,niè
㙟,lǎng
㙠,yī
㙡,zōng
㙢,mán
㙣,zhàng
㙤,xià
㙥,gùn
㙨,jì
㙩,liáo
㙪,yì
㙫,jí
㙬,yín
㙮,dā
㙯,yì
㙰,xiè
㙱,hào
㙲,yǒng
㙳,kǎn
㙴,chàn
㙵,tái
㙶,táng
㙷,zhí
㙸,bào
㙹,méng
㙺,kuí
㙻,chán
㙼,lěi
㙾,xì
㚀,xī
㚁,qiào
㚂,nàng
㚃,yūn
㚅,lóng
㚆,fù
㚉,gǔ
㚊,kāi
㚋,diāo
㚌,huà
㚍,kuǐ
㚏,gǎo
㚐,tào
㚒,shǎn
㚓,lǎi
㚔,niè
㚕,fú
㚖,gǎo
㚗,qié
㚘,bàn
㚚,kōng
㚛,xì
㚜,yù
㚝,zhuī
㚞,shěn
㚟,chuò
㚠,xiāo
㚡,jǐ
㚢,nú
㚤,yì
㚥,yú
㚦,yí
㚧,yǎn
㚨,shěn
㚩,rǎn
㚪,hào
㚫,sà
㚬,jūn
㚭,yóu
㚯,xín
㚰,pēi
㚱,qiū
㚲,chān
㚴,bù
㚵,dōng
㚶,sì
㚷,ěr
㚹,mǎo
㚺,yùn
㚻,jī
㚽,qiǎo
㚾,xiōng
㚿,páo
㛁,pēng
㛂,nuǒ
㛃,jié
㛄,yī
㛅,èr
㛆,duò
㛊,duǒ
㛍,qiè
㛎,lǚ
㛏,qiú
㛐,sǒu
㛑,càn
㛒,dòu
㛓,xī
㛔,fēng
㛕,yì
㛖,suō
㛗,qiē
㛘,pò
㛙,xīn
㛚,tǒng
㛛,xìn
㛜,yóu
㛝,bèi
㛞,lòng
㛥,tà
㛦,lǎn
㛧,mǎn
㛨,qiǎng
㛩,zhóu
㛪,yàn
㛫,xī
㛬,lù
㛭,xī
㛮,sǎo
㛯,fàn
㛱,wěi
㛲,fà
㛳,yì
㛴,nǎo
㛵,chēng
㛶,tàn
㛷,jī
㛸,shù
㛹,pián
㛺,ān
㛻,kuā
㛼,chā
㛾,xián
㛿,zhì
㜂,fēng
㜃,liàn
㜄,xún
㜅,xù
㜆,mì
㜇,huì
㜈,mù
㜉,yōng
㜊,zhǎn
㜋,yì
㜌,nǒu
㜍,táng
㜎,xī
㜏,yún
㜐,shù
㜑,fú
㜒,yì
㜓,dá
㜕,lián
㜖,cáo
㜗,cān
㜘,jù
㜙,lù
㜚,sù
㜛,nèn
㜜,ào
㜝,ǎn
㜞,qiàn
㜠,cuī
㜡,cōng
㜣,rán
㜤,niǎn
㜥,mái
㜦,xín
㜧,yuè
㜨,nái
㜩,ào
㜪,shēn
㜫,mà
㜮,làn
㜯,xī
㜰,yuè
㜱,zhì
㜲,wěng
㜳,huái
㜴,mèng
㜵,niǎo
㜶,wǎn
㜷,mí
㜸,niè
㜹,qú
㜻,liàn
㜼,zhí
㜽,zǐ
㜾,hái
㜿,xù
㝀,hào
㝁,xuān
㝂,zhì
㝃,miǎn
㝄,chún
㝅,gòu
㝇,chún
㝈,luán
㝉,zhù
㝊,shǒu
㝌,jiù
㝍,xiě
㝎,dìng
㝏,jiè
㝐,róng
㝑,máng
㝓,kè
㝔,yǎo
㝕,níng
㝖,yí
㝗,láng
㝘,yóng
㝙,yín
㝛,sù
㝝,lín
㝞,yā
㝟,máo
㝠,míng
㝡,zuì
㝢,yǔ
㝣,yì
㝤,gòu
㝥,mǐ
㝦,jùn
㝧,wěn
㝩,kāng
㝪,diàn
㝫,lóng
㝭,xǐng
㝮,cuì
㝯,qiáo
㝰,mián
㝱,mèng
㝲,qǐn
㝴,wán
㝵,dé
㝶,ài
㝸,biàn
㝹,nóu
㝺,lián
㝻,jǐn
㝼,yū
㝽,chuí
㝾,zuǒ
㝿,bǒ
㞀,huī
㞁,yào
㞂,tuǐ
㞃,jì
㞄,ān
㞅,luò
㞆,jǐ
㞇,wěi
㞈,bō
㞉,zā
㞊,xù
㞋,niǎn
㞌,yùn
㞎,bǎ
㞏,zhé
㞐,jū
㞑,wěi
㞒,xiè
㞔,yí
㞕,xiè
㞖,cí
㞗,qiú
㞙,niào
㞚,qì
㞛,jǐ
㞜,tuī
㞞,sóng
㞟,diàn
㞠,láo
㞡,zhǎn
㞤,yín
㞥,cén
㞦,jǐ
㞧,huì
㞨,zǐ
㞩,lán
㞪,náo
㞫,jù
㞬,qìn
㞭,dài
㞯,jié
㞰,xǔ
㞱,cōng
㞲,yòng
㞳,dǒu
㞴,chí
㞶,mǐn
㞷,huáng
㞸,suì
㞹,kě
㞺,zú
㞻,hào
㞼,chéng
㞽,xuè
㞾,ní
㞿,chì
㟀,lián
㟁,àn
㟂,mǔ
㟃,sī
㟄,xiáng
㟅,yáng
㟆,huá
㟇,cuò
㟈,qiú
㟉,láo
㟊,fú
㟋,duì
㟌,máng
㟍,láng
㟎,tuǒ
㟏,hán
㟐,mǎng
㟑,bó
㟒,qūn
㟓,qí
㟔,hán
㟖,lòng
㟘,tiáo
㟙,zé
㟚,qí
㟛,zàn
㟜,mí
㟝,péi
㟞,zhàn
㟟,xiàng
㟠,gǎng
㟢,qí
㟤,lù
㟦,yùn
㟧,è
㟨,duān
㟩,mín
㟪,wēi
㟫,quán
㟬,sǒu
㟭,mín
㟮,tū
㟰,mǐng
㟱,yǎo
㟲,jué
㟳,lì
㟴,kuài
㟵,gǎng
㟶,yuán
㟷,da
㟹,láo
㟺,lóu
㟻,qiàn
㟼,áo
㟽,biǎo
㟾,yōng
㟿,mǎng
㠀,dǎo
㠂,áo
㠄,xí
㠅,fú
㠆,dān
㠇,jiù
㠈,rùn
㠉,tóng
㠊,qū
㠋,è
㠌,qī
㠍,jí
㠎,jí
㠏,huá
㠐,jiào
㠑,zuì
㠒,biǎo
㠓,méng
㠔,bài
㠕,wěi
㠖,yǐ
㠗,ào
㠘,yǔ
㠙,háo
㠚,duì
㠛,wò
㠜,nì
㠝,cuán
㠟,lí
㠠,lú
㠡,niǎo
㠢,huái
㠣,lì
㠥,lǜ
㠦,fēng
㠧,mǐ
㠨,yù
㠪,jù
㠭,zhǎn
㠮,pēng
㠯,yǐ
㠱,jì
㠲,bǐ
㠴,rèn
㠵,huāng
㠶,fán
㠷,gé
㠹,jiè
㠺,shā
㠽,tóng
㠾,yuān
㠿,zī
㡀,bì
㡁,kuǎ
㡂,lì
㡃,huāng
㡄,xún
㡅,nuǒ
㡇,zhé
㡈,wèn
㡉,xián
㡊,qià
㡋,yé
㡌,mào
㡏,shù
㡑,qiāo
㡒,zhūn
㡓,kūn
㡔,wù
㡕,yīng
㡖,chuáng
㡗,tí
㡘,lián
㡙,bī
㡚,gōu
㡛,máng
㡜,xiè
㡝,fèng
㡞,lóu
㡟,zāo
㡠,zhèng
㡡,chú
㡢,màn
㡣,lóng
㡥,yìn
㡦,pīn
㡧,zhèng
㡨,jiān
㡩,luán
㡪,nié
㡫,yì
㡭,jì
㡮,jí
㡯,zhái
㡰,yǔ
㡱,jiǔ
㡲,huán
㡳,zhǐ
㡴,lā
㡵,líng
㡶,zhǐ
㡷,běn
㡸,zhà
㡹,jū
㡺,dàn
㡻,liào
㡼,yì
㡽,zhào
㡾,xiàn
㡿,chì
㢀,cì
㢁,chǐ
㢂,yǎn
㢃,láng
㢄,dòu
㢅,lòng
㢆,chán
㢈,tuí
㢉,chá
㢊,ǎi
㢋,chǐ
㢍,yǐng
㢎,zhé
㢏,tóu
㢑,tuí
㢒,chá
㢓,yǎo
㢔,zǒng
㢖,pān
㢗,qiào
㢘,lián
㢙,qín
㢚,lǔ
㢛,yàn
㢜,kàng
㢝,sū
㢞,yì
㢟,chān
㢠,jiǒng
㢡,jiǎng
㢣,jìng
㢥,dòng
㢧,juàn
㢨,hàn
㢩,dì
㢬,hóng
㢮,chí
㢯,diāo
㢰,bì
㢲,xùn
㢳,lú
㢵,xié
㢶,bì
㢸,bì
㢺,xián
㢻,ruì
㢼,biè
㢽,ěr
㢾,juàn
㣀,zhèn
㣁,bèi
㣂,è
㣃,yǔ
㣄,qú
㣅,zàn
㣆,mí
㣇,yì
㣈,sì
㣌,shàn
㣍,tái
㣎,mù
㣏,jìng
㣐,biàn
㣑,róng
㣒,cèng
㣓,càn
㣔,dīng
㣙,dí
㣚,tǒng
㣛,tà
㣜,xíng
㣝,sōng
㣞,duó
㣟,xì
㣠,tāo
㣢,tí
㣣,shàn
㣤,jiàn
㣥,zhì
㣦,wēi
㣧,yìn
㣪,huǎn
㣫,zhǒng
㣬,qì
㣭,zōng
㣯,xiè
㣰,xiè
㣱,zé
㣲,wéi
㣵,tà
㣶,zhān
㣷,nìng
㣻,yì
㣼,rěn
㣽,shù
㣾,chà
㣿,zhuó
㤁,miǎn
㤂,jí
㤃,fáng
㤄,pèi
㤅,ài
㤆,fàn
㤇,ǎo
㤈,qìn
㤉,qiā
㤊,xiào
㤋,fēn
㤌,gān
㤍,qiāo
㤎,gē
㤏,tóng
㤐,chān
㤑,yòu
㤒,gāo
㤓,bèn
㤔,fù
㤕,chù
㤖,zhù
㤘,zhòu
㤚,háng
㤛,nín
㤜,jué
㤝,chōng
㤞,chà
㤟,kǒng
㤠,liè
㤡,lì
㤢,yù
㤤,yú
㤥,hài
㤦,lì
㤧,hóu
㤨,gǒng
㤩,kè
㤪,yuàn
㤫,dé
㤬,huì
㤮,guàng
㤯,jiǒng
㤰,zuò
㤱,fù
㤲,qiè
㤳,běi
㤴,chè
㤵,cí
㤶,máng
㤷,hān
㤸,xì
㤹,qiú
㤺,huǎng
㤽,chóu
㤾,sàn
㤿,yān
㥀,zhí
㥁,dé
㥂,tè
㥃,mèn
㥄,líng
㥅,shòu
㥆,tuì
㥇,cán
㥈,dié
㥉,chè
㥊,péng
㥋,yī
㥌,jú
㥍,jì
㥎,lái
㥏,tiǎn
㥐,yuàn
㥒,cǎi
㥓,qī
㥔,yù
㥕,lián
㥖,cōng
㥚,yú
㥛,jí
㥜,wèi
㥝,mǐ
㥞,suì
㥟,xié
㥠,xū
㥡,chì
㥢,qiú
㥣,huì
㥥,yú
㥦,qiè
㥧,shùn
㥨,shuì
㥩,duǒ
㥪,lóu
㥬,páng
㥭,tài
㥮,zhòu
㥯,yǐn
㥰,sāo
㥱,fěi
㥲,chēn
㥳,yuán
㥴,yí
㥵,hùn
㥶,sè
㥷,yè
㥸,mǐn
㥹,fěn
㥺,hé
㥼,yìn
㥽,cè
㥾,nì
㥿,ào
㦀,féng
㦁,lián
㦂,cháng
㦃,chǎn
㦄,má
㦅,diē
㦆,hū
㦇,lù
㦉,yì
㦊,huá
㦋,zhā
㦌,hū
㦍,è
㦎,huò
㦏,sǔn
㦐,nì
㦑,xiàn
㦒,lí
㦓,xiàn
㦔,yàn
㦕,lóng
㦖,mèn
㦗,jīn
㦘,jī
㦚,biǎn
㦛,yǔ
㦜,huò
㦝,miǎo
㦞,chóu
㦟,mái
㦡,lè
㦢,jié
㦣,wèi
㦤,yì
㦥,xuān
㦦,xì
㦧,cǎn
㦨,lán
㦩,yǐn
㦪,xiè
㦫,zā
㦬,luǒ
㦭,líng
㦮,qián
㦯,huò
㦰,jiān
㦴,gé
㦵,zhū
㦶,dié
㦷,yǒng
㦸,jǐ
㦹,yáng
㦺,rù
㦻,xí
㦼,shuàng
㦽,yù
㦾,yí
㦿,qiǎn
㧀,jí
㧁,qù
㧂,tián
㧃,shōu
㧄,qiǎn
㧅,mù
㧆,jīn
㧇,mǎo
㧈,yǐn
㧉,gài
㧊,pō
㧋,xuǎn
㧌,mào
㧍,fǎng
㧎,yá
㧏,gāng
㧐,sǒng
㧑,huī
㧒,yù
㧓,guā
㧔,guài
㧕,liǔ
㧖,è
㧘,zì
㧙,bì
㧚,wǎ
㧟,kuǎi
㧡,hài
㧢,yīn
㧣,zhū
㧥,xiǎn
㧦,xuàn
㧨,qiú
㧩,pèi
㧪,guǐ
㧫,ér
㧭,qióng
㧮,hū
㧯,lǎo
㧰,lì
㧱,chèn
㧲,sǎn
㧳,zhuò
㧴,wǒ
㧶,kēng
㧷,tùn
㧹,tè
㧺,tà
㧻,zhuó
㧼,biào
㧽,gù
㧾,hū
㨀,bǐng
㨁,zhì
㨂,dǒng
㨄,zhōu
㨅,nèi
㨇,pó
㨈,jǐ
㨉,mín
㨊,wěi
㨋,chě
㨌,gòu
㨍,bāng
㨎,rú
㨏,tān
㨐,bǔ
㨑,zōng
㨒,kuī
㨓,láo
㨔,hàn
㨕,yíng
㨗,jié
㨙,xié
㨚,xún
㨛,shǎn
㨜,qián
㨞,sù
㨟,hāi
㨠,mì
㨡,hún
㨤,huì
㨥,nà
㨦,sǒng
㨧,bèn
㨩,jié
㨪,huàng
㨫,lǎn
㨭,hù
㨯,huò
㨰,gǔn
㨱,yáo
㨲,cè
㨳,guǐ
㨵,jiǎn
㨶,dǎo
㨷,jìn
㨸,mà
㨹,huì
㨺,miǎn
㨻,cán
㨼,lüè
㨽,pì
㨾,yàng
㨿,jù
㩀,jù
㩁,què
㩃,qiān
㩄,shāi
㩆,jiù
㩇,huò
㩈,yǔn
㩉,dá
㩊,xuān
㩋,xiāo
㩌,fèi
㩍,cè
㩎,yè
㩓,huǐ
㩔,tún
㩖,qiáng
㩗,xí
㩘,nǐ
㩙,sāi
㩚,méng
㩛,tuán
㩝,háo
㩟,zhài
㩠,āo
㩡,luǒ
㩢,miè
㩤,fū
㩦,xié
㩧,bó
㩨,huì
㩩,qǐng
㩪,xié
㩭,bó
㩮,qián
㩯,pó
㩰,jiǎo
㩱,jué
㩲,kǔn
㩳,sǒng
㩴,jú
㩵,è
㩶,niè
㩸,dié
㩹,dié
㩼,zhī
㩽,qí
㩾,zhuì
㩿,kū
㪀,yú
㪁,qín
㪂,kū
㪃,hé
㪄,fú
㪆,dǐ
㪇,xiàn
㪈,guì
㪉,hé
㪊,qún
㪋,hàn
㪌,tǒng
㪍,bó
㪎,shǎn
㪏,bǐ
㪐,lù
㪑,yè
㪒,ní
㪓,chuái
㪔,sàn
㪕,diào
㪖,lù
㪘,liǎn
㪙,kě
㪚,sàn
㪛,zhěn
㪜,chuǎi
㪝,liàn
㪞,mào
㪠,qiān
㪡,kài
㪢,shǎo
㪣,xiāo
㪤,bì
㪥,zhā
㪦,yìn
㪧,xī
㪨,shàn
㪩,sù
㪪,sà
㪫,ruì
㪬,chuō
㪭,lú
㪮,líng
㪯,chá
㪱,huàn
㪴,jiá
㪵,bàn
㪶,hú
㪹,lǒu
㪺,jū
㪻,juàn
㪼,kě
㪾,luò
㪿,zhé
㫀,dǐng
㫁,duàn
㫂,zhù
㫃,yǎn
㫄,páng
㫅,chá
㫊,yǐ
㫍,yóu
㫎,huī
㫏,yǎo
㫐,yǎo
㫑,zhǐ
㫒,gǒng
㫓,qǐ
㫔,gèn
㫗,hòu
㫘,mì
㫙,fú
㫚,hū
㫛,guàng
㫜,tǎn
㫝,dī
㫟,yán
㫤,chǎng
㫥,mǐng
㫦,tāo
㫧,bào
㫫,xiǎn
㫯,mào
㫰,làng
㫱,nǎn
㫲,bèi
㫳,chén
㫵,fēi
㫶,zhǒu
㫷,jī
㫸,jiē
㫹,shù
㫻,kùn
㫼,dié
㫽,lù
㬂,yú
㬃,tái
㬄,chàn
㬅,màn
㬆,mǐn
㬇,huàn
㬈,wēn
㬉,nuǎn
㬊,huàn
㬋,hóu
㬌,jìng
㬍,bó
㬎,xiǎn
㬏,lì
㬐,jìn
㬒,mǎng
㬓,piào
㬔,háo
㬕,yáng
㬗,xiàn
㬘,sù
㬙,wěi
㬚,chè
㬛,xī
㬜,jìn
㬝,céng
㬞,hè
㬟,fēn
㬠,shài
㬡,líng
㬣,duì
㬤,qī
㬥,pù
㬦,yuè
㬧,bó
㬩,huì
㬪,dié
㬫,yàn
㬬,jù
㬭,jiào
㬮,nàn
㬯,liè
㬰,yú
㬱,tì
㬲,tiān
㬳,wǔ
㬴,hǒng
㬵,xiáo
㬶,hào
㬸,tiāo
㬻,huāng
㬼,fù
㬿,tūn
㭁,réng
㭄,xìn
㭇,yuàn
㭈,jué
㭉,huá
㭋,bàng
㭌,móu
㭎,gāng
㭏,wěi
㭑,mèi
㭒,sì
㭓,biàn
㭔,lú
㭕,qū
㭘,gé
㭙,zhé
㭚,lǚ
㭛,pài
㭜,róng
㭝,qiú
㭞,liè
㭟,gǒng
㭡,xì
㭢,xīn
㭤,niǎo
㭨,xié
㭩,liè
㭪,fū
㭫,cuó
㭬,zhuó
㭭,bā
㭮,zuò
㭯,zhé
㭰,zuī
㭱,hé
㭲,jí
㭴,jiān
㭸,tú
㭹,xián
㭺,yǎn
㭻,táng
㭼,tà
㭽,dǐ
㭿,áng
㮀,hán
㮁,xiáo
㮂,jú
㮃,wēi
㮄,bǎng
㮅,zhuī
㮆,niè
㮇,tiàn
㮈,nài
㮋,yǒu
㮏,nài
㮐,shěng
㮑,chā
㮒,yān
㮓,gèn
㮔,chòng
㮕,ruǎn
㮖,jiá
㮗,qín
㮘,máo
㮙,è
㮚,lì
㮛,chí
㮜,zāng
㮝,hé
㮞,jié
㮟,niǎn
㮡,guàn
㮢,hóu
㮣,gài
㮥,bèn
㮦,suǒ
㮧,wū
㮨,jì
㮩,xī
㮪,qióng
㮫,hé
㮬,wēng
㮭,xián
㮮,jié
㮯,hún
㮰,pí
㮱,shēn
㮲,chōu
㮳,zhèn
㮵,zhān
㮶,shuò
㮷,jī
㮸,sòng
㮹,zhǐ
㮺,běn
㮾,lǎng
㮿,bì
㯀,xuàn
㯁,péi
㯂,dài
㯄,zhī
㯅,pí
㯆,chǎn
㯇,bì
㯈,sù
㯉,huò
㯊,hén
㯋,jiǒng
㯌,chuán
㯍,jiǎng
㯎,nèn
㯏,gǔ
㯐,fǎng
㯓,tà
㯔,cuì
㯕,xī
㯖,dé
㯗,xián
㯘,kuǎn
㯙,zhé
㯚,tā
㯛,hú
㯜,cuì
㯝,lù
㯞,juàn
㯟,lù
㯠,qiàn
㯡,pào
㯢,zhèn
㯤,lì
㯥,cáo
㯦,qí
㯩,tì
㯪,líng
㯫,qú
㯬,liǎn
㯭,lǔ
㯮,shú
㯯,gòng
㯰,zhé
㯱,pāo
㯲,jìn
㯳,qíng
㯶,zōng
㯷,pú
㯸,jǐn
㯹,biǎo
㯺,jiàn
㯻,gǔn
㯾,zāo
㯿,liè
㰀,lí
㰁,luǒ
㰂,shěn
㰃,mián
㰄,jiàn
㰅,dí
㰆,bèi
㰈,liǎn
㰊,xián
㰋,pín
㰌,què
㰍,lóng
㰎,zuì
㰐,jué
㰑,shān
㰔,xiè
㰖,lǎn
㰗,qí
㰘,yí
㰙,nuó
㰚,lí
㰛,yuè
㰝,yǐ
㰞,chī
㰟,jì
㰠,hāng
㰡,xiè
㰢,kēng
㰣,zī
㰤,hē
㰥,xì
㰦,qù
㰧,hāi
㰨,xiā
㰩,hāi
㰪,guī
㰫,chān
㰬,xún
㰭,xū
㰮,shèn
㰯,kòu
㰰,xiā
㰱,shà
㰲,yū
㰳,yà
㰴,pǒu
㰵,zú
㰶,yǒu
㰷,zì
㰸,liǎn
㰹,xiān
㰺,xià
㰻,yǐ
㰼,shà
㰽,yàn
㰾,jiào
㰿,xī
㱀,chǐ
㱁,shì
㱂,kāng
㱃,yǐn
㱄,hēi
㱅,yì
㱆,xī
㱇,sè
㱈,jìn
㱉,yè
㱊,yōu
㱋,què
㱌,yé
㱍,luán
㱎,kūn
㱏,zhèng
㱔,xiē
㱖,cuì
㱗,xiū
㱘,àn
㱙,xiǔ
㱚,cán
㱛,chuǎn
㱜,zhá
㱞,yì
㱟,pī
㱠,kū
㱡,shēng
㱢,láng
㱣,tuǐ
㱤,xī
㱥,líng
㱦,qī
㱧,wò
㱨,liàn
㱩,dú
㱪,mèn
㱫,làn
㱬,wěi
㱭,duàn
㱮,kuài
㱯,ái
㱰,zǎi
㱱,huì
㱲,yì
㱳,mò
㱴,zì
㱵,fèn
㱶,péng
㱸,bì
㱹,lì
㱺,lú
㱻,luò
㱼,hāi
㱽,zhěn
㱾,gāi
㱿,què
㲀,zhēn
㲁,kōng
㲂,chéng
㲃,jiù
㲄,jué
㲅,jì
㲆,líng
㲈,sháo
㲉,què
㲊,ruì
㲋,chuò
㲌,nèng
㲍,zhī
㲎,lóu
㲏,pāo
㲒,bào
㲓,róng
㲔,xiān
㲕,lèi
㲖,xiāo
㲗,fū
㲘,qú
㲚,shā
㲛,zhǐ
㲜,tán
㲝,rǒng
㲞,sū
㲟,yǐng
㲠,máo
㲡,nài
㲢,biàn
㲤,shuāi
㲥,táng
㲦,hàn
㲧,sào
㲨,róng
㲪,dēng
㲫,pú
㲬,jiāo
㲭,tǎn
㲯,rán
㲰,níng
㲱,liè
㲲,dié
㲳,dié
㲴,zhòng
㲶,lǜ
㲷,dàn
㲸,xī
㲹,guǐ
㲺,jí
㲻,nì
㲼,yì
㲽,niàn
㲾,yǔ
㲿,wǎng
㳀,guò
㳁,zè
㳂,yán
㳃,cuì
㳄,xián
㳅,jiǎo
㳆,tǒu
㳇,fù
㳈,pèi
㳊,yōu
㳋,qiū
㳌,yā
㳍,bù
㳎,biàn
㳏,shì
㳐,zhá
㳑,yì
㳒,biàn
㳔,duì
